allocator,create,query,total
mem5_1mb,6975064,560142850,567126168
mem5_1mb,6946194,577969703,584924109
mem5_1mb,6946430,636828773,643783416
mem5_1mb,6947962,566571895,573528037
mem5_1mb,6949819,601977884,608936525
mem5_1mb,6944859,580677695,587630621
mem5_1mb,6951077,529591910,536552321
mem5_1mb,6951638,526769332,533728687
mem5_1mb,6955516,553528003,560492494
mem5_1mb,6971009,574317824,581297348
mem5_1mb,6968300,576910582,583888090
mem5_1mb,6945476,490505485,497459454
mem5_1mb,6951332,548985968,555946091
mem5_1mb,7154575,512340176,519536606
mem5_1mb,7068826,574594949,581673113
mem5_1mb,7002310,588474456,595486936
mem5_1mb,7041045,522188359,529238136
mem5_1mb,6997868,520818355,527825365
mem5_1mb,6981118,630885208,637874699
mem5_1mb,7040106,581896040,588945585
mem5_1mb,6975664,517522471,524506523
mem5_1mb,7031847,583181749,590221628
mem5_1mb,6987235,585193147,592188731
mem5_1mb,7024619,526405840,533438802
mem5_1mb,6980133,519089054,526076962
mem5_1mb,6985502,582847484,589841395
mem5_1mb,6961668,522076499,529046430
mem5_1mb,6996350,576558199,583563130
mem5_1mb,6979896,522259952,529248152
mem5_1mb,6967002,628092263,635067507
mem5_1mb,6992286,585073073,592073766
mem5_1mb,6963435,579287256,586259067
mem5_1mb,6987813,579459005,586455337
mem5_1mb,7009580,622970490,629988670
mem5_1mb,6973574,488536884,495518739
mem5_1mb,6975872,494939156,501923380
mem5_1mb,6975752,575090509,582074557
mem5_1mb,6998339,628106377,635113108
mem5_1mb,6985983,528310212,535305435
mem5_1mb,7021810,615841251,622871203
mem5_1mb,6977808,575396188,582383007
mem5_1mb,6984944,498101116,505094380
mem5_1mb,6966521,511690279,518665647
mem5_1mb,7173909,589265179,596482576
mem5_1mb,7027463,624988219,632024035
mem5_1mb,7017233,579897214,586924126
mem5_1mb,7019178,577009444,584037911
mem5_1mb,7031946,501926541,508968361
mem5_1mb,7023116,516619979,523652252
mem5_1mb,7045133,502841649,509896449
mem5_1mb,7094771,579629485,586732637
mem5_1mb,7015774,673776307,680800594
mem5_1mb,7023009,586747979,593779321
mem5_1mb,7033659,630946604,637988690
mem5_1mb,7063914,578802463,585874845
mem5_1mb,7016600,523173196,530198101
mem5_1mb,7019973,541554664,548582782
mem5_1mb,7012264,579666944,586687550
mem5_1mb,7048869,580822255,587879584
mem5_1mb,7037483,548946668,555992490
mem5_1mb,7022355,634633496,641664674
mem5_1mb,7014685,572915231,579938213
mem5_1mb,7017174,580173051,587199013
mem5_1mb,7066148,572606157,579680425
mem5_1mb,7078312,576362789,583450260
mem5_1mb,7046787,585673997,592729238
mem5_1mb,7063856,578245091,585318213
mem5_1mb,7041821,512884569,519934546
mem5_1mb,7011307,512519363,519538808
mem5_1mb,7028735,525815736,532852476
mem5_1mb,7014200,534249090,541271749
mem5_1mb,7033875,531145238,538187309
mem5_1mb,7011486,547864437,554889364
mem5_1mb,7148374,579980639,587174722
mem5_1mb,7023881,580645345,587677940
mem5_1mb,6966439,627090275,634066381
mem5_1mb,6977735,588704456,595691107
mem5_1mb,6985541,572669675,579664252
mem5_1mb,6963107,578135783,585107628
mem5_1mb,6960494,524791374,531760383
mem5_1mb,7040871,585703557,592752766
mem5_1mb,6958215,573555075,580521644
mem5_1mb,6958932,537193312,544160495
mem5_1mb,6943463,552458188,559409647
mem5_1mb,6955485,519562481,526526550
mem5_1mb,6957274,583963876,590929575
mem5_1mb,6987441,588014399,595010485
mem5_1mb,7009838,586823775,593841848
mem5_1mb,6967405,504526159,511501820
mem5_1mb,7013084,528294255,535316018
mem5_1mb,6959659,531178042,538145759
mem5_1mb,6985783,535873818,542867951
mem5_1mb,6945416,580194255,587147731
mem5_1mb,6949337,635824713,642782461
mem5_1mb,6954557,638133940,645097298
mem5_1mb,6997364,578138855,585144707
mem5_1mb,6975200,574230541,581215165
mem5_1mb,6976328,584036338,591020995
mem5_1mb,6965278,584140538,591114906
mem5_1mb,6968282,581719859,588696569
mem5_1mb,6963633,527145227,534117822
mem5_1mb,7009455,579633658,586651366
mem5_1mb,6967849,571390372,578367507
mem5_1mb,7134119,523782360,530957202
mem5_1mb,6951324,574021086,580980609
mem5_1mb,6969231,550354996,557334241
mem5_1mb,6943685,580413572,587365814
mem5_1mb,6960604,585295231,592265411
mem5_1mb,6948976,579878760,586836142
mem5_1mb,6952380,582552508,589514673
mem5_1mb,6997250,576869456,583875491
mem5_1mb,6948117,563418467,570375490
mem5_1mb,6967706,527535787,534512054
mem5_1mb,6962788,579821285,586792319
mem5_1mb,6948065,573523716,580480066
mem5_1mb,6948135,579019958,585976525
